"name","flower","feather","sand","goblet","circlet","set2","set4"
"절연의 기치","위엄의 날밑","떨어진 깃털","뇌운의 함","진홍의 주전자","화려한 투구","원소 충전 효율+20%","원소폭발로 주는 피해가 원소 충전 효율의 25%만큼 증가한다. 해당 방식으로 최대 75%까지 증가할 수 있다"
"바다에 물든 거대 조개","바다에 물든 꽃","연궁의 깃털","이별의 조개","진주의 요람","와타츠미의 왕관","치유 보너스+15%","해당 성유물 세트를 장착한 캐릭터가 파티 내 캐릭터를 치유하면, 3초간 지속되는 바다에 물든 거품을 생성해 치유한 HP의 회복량을 기록한다(초과된 수치 포함). 지속 시간 종료 후 바다에 물든 거품이 폭발해 주변의 적에게 누적 회복량의 90%에 해당하는 피해를 준다(해당 피해 계산 방식은 감전, 초전도 등 원소 반응의 방식과 같지만, 원소 마스터리, 레벨 또는 반응 피해 보너스 효과의 영향을 받지 않는다). 3.5초마다 최대 1개의 바다에 물든 거품이 "
"풍요로운 꿈의 껍데기","영광의 꽃의 시간","화관의 깃털","중생의 노래","꿈에서 깬 조롱박","형해의 삿갓","방어력+30%","해당 성유물 세트를 장착한 캐릭터는 아래 상황에서 「문답」 효과를 얻는다: 필드 위에서 바위 원소 공격으로 적 명중 시 1스택 획득, 0.3초마다 최대 1회 발동된다. 대기 상태일 때 3초마다 1스택 획득. 문답 효과는 최대 4스택까지 중첩 가능하고, 스택 당 6%의 방어력과 6%의 바위 원소 피해 보너스를 제공한다. 6초마다 문답 효과를 획득하지 못할 경우, 1스택이 차감된다"
"진사 왕생록","생령의 꽃","숨겨진 빛의 깃털","태양의 유물","계약의 순간","번개의 자태","공격력+18%","원소폭발 시전 후 16초 동안 「숨겨진 빛」 효과가 생성되고, 공격력이 8% 증가한다. 캐릭터 HP가 감소할 때 공격력이 10% 더 증가한다. 이러한 방식으로 최대 4회 증가할 수 있으며, 0.8초마다 1회 발동한다. 「숨겨진 빛」 효과는 캐릭터 퇴장 시 사라진다. 지속 시간 동안 다시 원소폭발 발동 시 기존의 「숨겨진 빛」이 사라진다"
"제사의 여운","혼향의 꽃","옥의 잎","축사의 증명","샘물의 찻잔","추억의 보옥","공격력+18%","일반 공격이 적 명중 시, 36%의 확률로 「유곡의 축사」를 발동한다. 「유곡의 축사」: 일반 공격으로 주는 피해가 공격력의 70%만큼 증가한다. 해당 효과는 일반 공격으로 피해를 가한 다음 0.05초 후에 사라진다. 일반 공격으로 「유곡의 축사」가 발동되지 않을 때, 다음 공격에서 발동될 확률이 20% 증가한다. 0.2초 내 최대 1회 발동 여부를 판정한다"
"숲의 기억","미궁의 유객","푸른 덩굴의 현자","현명의 주기","방황하는 자의 등잔","월계수 왕관","풀 원소 피해 보너스+15%","원소전투 스킬 또는 원소폭발 공격에 명중된 적은 풀 원소 내성이 30% 감소한다. 지속 시간: 8초. 장착 캐릭터가 대기 상태일 때도 해당 효과는 발동된다"
"도금된 꿈","꿈속에 피어난 철의 꽃","심판의 날개","가라앉은 세월","달콤한 마지막 연회","모래왕의 그림자","원소 마스터리+80pt","원소 반응 발동 후 8초 동안 파티 내 다른 캐릭터의 원소 유형에 따라 장착 캐릭터가 강화 효과를 받는다: 파티 내 장착 캐릭터와 동일한 원소 타입의 캐릭터가 1명 존재할 때마다 공격력이 14% 증가한다. 파티 내 장착 캐릭터와 다른 원소 타입의 캐릭터가 1명 존재할 때마다 원소 마스터리가 50pt 증가한다. 해당 효과는 각각 최대 3명의 캐릭터까지 계산한다. 해당 효과는 8초마다 최대 1회 발동된다. 장착 캐릭터가 대기 상태일 때도 해당 효과는 발동된"
"모래 위 누각의 역사","왕의 도시의 탄생","황금빛 국가의 결말","길을 잃어버린 시계","기나긴 꿈의 수호","사막 왕족의 유산","바람 원소 피해 보너스+15%","강공격이 적을 명중 후, 해당 캐릭터의 일반 공격 속도가 10% 증가하고 일반 공격, 강공격, 낙하 공격으로 주는 피해가 40% 증가한다. 지속 시간: 15초"
"잃어버린 낙원의 꽃","월녀의 색채","시들어버린 연회","엉겨 붙은 찰나","비밀을 지키는 요술병","자수정 화관","원소 마스터리+80pt","장착 캐릭터가 개화, 만개, 발화 반응으로 주는 피해가 40% 증가한다. 또한 장착 캐릭터가 개화, 만개, 발화를 발동하면 해당 효과로 증가한 보너스가 25% 증가한다. 지속 시간: 10초. 최대 중첩수: 4회. 해당 효과는 1초마다 최대 1회 발동되며, 장착 캐릭터가 대기 상태일 때도 발동된다"
"님프의 꿈","여정 중의 꽃","나쁜 마법사의 깃털 지팡이","님프의 시시각각","용자들의 티타임","악룡의 단안경","물 원소 피해 보너스+15%","일반 공격, 강공격, 낙하 공격, 원소전투 스킬 또는 원소폭발이 적에게 명중한 후, 8초 동안 지속되는 「거울 속 님프」 효과가 1스택 생성된다. 「거울 속 님프」 효과가 1/2/3스택 이상일 시, 공격력이 7%/16%/25% 증가하고 물 원소 피해 보너스가 4%/9%/15% 증가한다. 일반 공격, 강공격, 낙하 공격, 원소전투 스킬 또는 원소폭발이 생성한 「거울 속 님프」는 각각 독립적으로 존재한다"
"감로빛 꽃바다","크바레나 기원의 꽃술","영롱한 옥빛 깃털","먼 옛날 꽃이 질 무렵","끝없는 향락의 연회","크바레나의 눈부신 심장","HP+20%","원소전투 스킬 및 원소폭발로 주는 피해가 10% 증가한다. 장착 캐릭터가 피해를 입은 후 5초 동안 해당 피해 증가 효과가 80% 증가한다. 최대 중첩수: 5스택. 스택마다 지속 시간은 독립적으로 계산한다. 해당 효과는 장착 캐릭터가 대기 상태일 때도 발동된다"
"그림자 사냥꾼","사냥꾼의 브로치","걸작의 서곡","심판의 시간","잊힌 술병","노병의 얼굴","일반 공격과 강공격으로 주는 피해+15%","캐릭터의 현재 HP에 변화가 생기면 치명타 확률이 12% 증가한다. 지속 시간: 5초, 최대 중첩수: 3회"
"황금 극단","황금 음악의 변주","황금 새의 깃털","황금 시대의 서곡","황금 밤의 소란","황금 극단의 보상","원소전투 스킬로 주는 피해+20%","원소전투 스킬로 주는 피해가 25% 증가한다. 대기 상태일 때는 원소전투 스킬로 주는 피해가 추가로 25% 증가하며, 해당 효과는 등장 후 2초가 지나면 사라진다"
"지난날의 노래","지난날 사라진 맹세","지난날 떠오른 생각","지난날 에돌던 소리","지난날 약속했던 꿈","지난날 읊던 시","치유 보너스+15%","장착 캐릭터가 파티 내 캐릭터 치유 시 6초 동안 지속되는 갈망 효과를 생성해 치유한 HP 회복량(초과치 포함)을 기록한다. 지속 시간 종료 시 갈망 효과는 「그때의 파도」 효과로 전환되어 아래 효과를 얻는다: 파티 내 자신의 현재 필드 위 캐릭터의 일반 공격, 강공격, 낙하 공격, 원소전투 스킬, 원소폭발이 적에게 명중 시 갈망 효과가 기록한 회복량의 8%에 기반해 주는 피해가 증가한다. 「그때의 파도」는 5회 발동 또는 10초 후 사라진다. 한 번…"
"메아리숲의 야화","이타적인 꽃 장식","성실한 잉크펜","충실한 모래시계","아낌없는 잉크병","자애로운 숙녀모","공격력+18%","원소전투 스킬 발동 후 10초 동안 바위 원소 피해 보너스가 20% 증가한다. 만약 결정 반응으로 생성된 보호막의 보호를 받고 있으면 상술한 효과가 150% 증가한다. 결정 보호막의 보호를 잃으면 추가로 증가한 효과는 1초 후에 사라진다"
"조화로운 공상의 단편","조화로운 전주곡","고대 바다의 야상곡","구르는 운명의 해학곡","영혼 이슬의 광시곡","영락한 공상의 왈츠","공격력+18%","생명의 계약의 수치가 증가 또는 감소 시, 캐릭터가 주는 피해가 18% 증가한다. 지속 시간: 6초, 최대 중첩수: 3회"
"미완의 몽상","어둠 속의 밝은 꽃","빛바랜 푸른 꽁지","대업의 시간","공모의 술잔","주인 잃은 왕관","공격력+18%","전투 상태 이탈 3초 후, 주는 피해가 50% 증가한다. 전투 상태에서 6초 넘게 주변에 연소 상태의 적이 없으면, 상술한 피해 증가 효과는 0%에 이를 때까지 초당 10%씩 감소한다. 연소 상태의 적이 있을 시, 50%에 이를 때까지 초당 10%씩 증가한다. 해당 성유물 세트를 장착한 캐릭터가 대기 상태 시에도 해당 효과는 발동된다"
"잿더미성 용사의 두루마리","훈련사의 부적","산 순찰자의 표지","비술사의 금 원반","떠돌이 학자의 용 술잔","마전사의 깃털 가면","주변에 있는 파티 내 캐릭터가 「밤혼 발산」발동 시, 장착 캐릭터가 원소 에너지를 6pt 회복한다.","장착 캐릭터가 상응하는 원소 타입 관련 반응 발동 후, 주변에 있는 파티 내 모든 캐릭터의 해당 원소 반응과 관련된 원소 피해 보너스가 12% 증가한다. 지속 시간: 15초. 해당 효과 발동 시 장착 캐릭터가 밤혼 가호 상태일 경우, 추가로 주변 에 있는 파티 내 모든 캐릭터의 해당 원소 반응과 관련된 원소 피해 보너스가 28% 증가한다. 지속 시간: 20초. 장착 캐릭터가 대기 상태일 때도 상술한 효과를 발동할 수 있다. 동명의 성유물 세트가 생성… "
"흑요석 비전","이종의 기대","영혼의 뿌리","밤 영역의 신화","분쟁 전의 연회","성자의 왕관","밤혼 가호 상태의 장착 캐릭터가 필드 위에 있을 시, 주는 피해가 15% 증가한다.","장착 캐릭터가 필드 위에서 밤혼을 1pt 소모한 후, 치명타 확률이 40% 증가한다. 지속시간: 6초. 해당 효과는 1초마다 최대 1회 발동된다."
